tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,166486,166486,Roseburia intestinalis,Roseburia intestinalis,species,1.09915,fraction_reads,1.09915,166486,1||1239|186801|3085636|186803|841|166486,13628,0,0,13628
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,169435,169435,Anaerotruncus colihominis,Anaerotruncus colihominis,species,0.86542,fraction_reads,0.86542,169435,1||1239|186801|186802|216572|244127|169435,10730,0,0,10730
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,214856,214856,Alistipes finegoldii,Alistipes finegoldii,species,0.94204,fraction_reads,0.94204,214856,1||976|200643|171549|171550|239759|214856,11680,0,0,11680
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,216816,216816,Bifidobacterium longum,Bifidobacterium longum,species,1.20731,fraction_reads,1.20731,216816,1||201174|1760|85004|31953|1678|216816,14969,0,0,14969
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,249188,249188,Haemophilus pittmaniae,Haemophilus pittmaniae,species,0.53312,fraction_reads,0.53312,249188,1||1224|1236|135625|712|724|249188,6610,0,0,6610
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,261299,261299,Intestinibacter bartlettii,Intestinibacter bartlettii,species,0.7321,fraction_reads,0.7321,261299,1||1239|186801|3082720|186804|1505657|261299,9077,0,0,9077
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,291644,291644,Bacteroides salyersiae,Bacteroides salyersiae,species,8e-05,fraction_reads,8e-05,291644,1||976|200643|171549|815|816|291644,1,0,0,1
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,292800,292800,Flavonifractor plautii,Flavonifractor plautii,species,0.98591,fraction_reads,0.98591,292800,1||1239|186801|186802|216572|946234|292800,12224,0,0,12224
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,301301,301301,Roseburia hominis,Roseburia hominis,species,0.87977,fraction_reads,0.87977,301301,1||1239|186801|3085636|186803|841|301301,10908,0,0,10908
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,301302,301302,Roseburia faecis,Roseburia faecis,species,0.81436,fraction_reads,0.81436,301302,1||1239|186801|3085636|186803|841|301302,10097,0,0,10097
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,328812,328812,Parabacteroides goldsteinii,Parabacteroides goldsteinii,species,1.68825,fraction_reads,1.68825,328812,1||976|200643|171549|2005525|375288|328812,20932,0,0,20932
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,328813,328813,Alistipes onderdonkii,Alistipes onderdonkii,species,0.84638,fraction_reads,0.84638,328813,1||976|200643|171549|171550|239759|328813,10494,0,0,10494
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,328814,328814,Alistipes shahii,Alistipes shahii,species,0.00016,fraction_reads,0.00016,328814,1||976|200643|171549|171550|239759|328814,2,0,0,2
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,342942,342942,Mediterraneibacter glycyrrhizinilyticus,Mediterraneibacter glycyrrhizinilyticus,species,0.79105,fraction_reads,0.79105,342942,1||1239|186801|3085636|186803|2316020|342942,9808,0,0,9808
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,357276,357276,Phocaeicola dorei,Phocaeicola dorei,species,1.33168,fraction_reads,1.33168,357276,1||976|200643|171549|815|909656|357276,16511,0,0,16511
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,371601,371601,Bacteroides xylanisolvens,Bacteroides xylanisolvens,species,1.52283,fraction_reads,1.52283,371601,1||976|200643|171549|815|816|371601,18881,0,0,18881
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,387661,387661,Parabacteroides johnsonii,Parabacteroides johnsonii,species,1.1294,fraction_reads,1.1294,387661,1||976|200643|171549|2005525|375288|387661,14003,0,0,14003
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,410072,410072,Coprococcus comes,Coprococcus comes,species,0.82065,fraction_reads,0.82065,410072,1||1239|186801|3085636|186803|33042|410072,10175,0,0,10175
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,411483,411483,Faecalibacterium duncaniae,Faecalibacterium duncaniae,species,0.75008,fraction_reads,0.75008,411483,1||1239|186801|186802|216572|216851|411483,9300,0,0,9300
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,411486,411486,Clostridium sp. M62/1,Clostridium sp. M62/1,species,0.94793,fraction_reads,0.94793,411486,1||1239|186801|186802|31979|1485|411486,11753,0,0,11753
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,418240,418240,Blautia wexlerae,Blautia wexlerae,species,1.15005,fraction_reads,1.15005,418240,1||1239|186801|3085636|186803|572511|418240,14259,0,0,14259
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,423477,423477,Veillonella rogosae,Veillonella rogosae,species,0.52288,fraction_reads,0.52288,423477,1||1239|909932|1843489|31977|29465|423477,6483,0,0,6483
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,454154,454154,Paraprevotella clara,Paraprevotella clara,species,0.96382,fraction_reads,0.96382,454154,1||976|200643|171549|171552|577309|454154,11950,0,0,11950
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,487174,487174,Barnesiella intestinihominis,Barnesiella intestinihominis,species,0.7771,fraction_reads,0.7771,487174,1||976|200643|171549|2005519|397864|487174,9635,0,0,9635
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,544580,544580,Actinomyces oris,Actinomyces oris,species,0.77347,fraction_reads,0.77347,544580,1||201174|1760|2037|2049|1654|544580,9590,0,0,9590
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,649756,649756,Anaerostipes hadrus,Anaerostipes hadrus,species,0.71532,fraction_reads,0.71532,649756,1||1239|186801|3085636|186803|207244|649756,8869,0,0,8869
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,674529,674529,Bacteroides faecis,Bacteroides faecis,species,1.47492,fraction_reads,1.47492,674529,1||976|200643|171549|815|816|674529,18287,0,0,18287
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,712411,712411,Olsenella sp. oral taxon 807,Olsenella sp. oral taxon 807,species,0.77896,fraction_reads,0.77896,712411,1||201174|84998|84999|1643824|133925|712411,9658,0,0,9658
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,938288,938288,Fenollaria massiliensis,Fenollaria massiliensis,species,0.39077,fraction_reads,0.39077,938288,1||1239|186801|186802||1686313|938288,4845,0,0,4845
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,1099853,1099853,Coprobacter fastidiosus,Coprobacter fastidiosus,species,0.83219,fraction_reads,0.83219,1099853,1||976|200643|171549|2005519|1348911|1099853,10318,0,0,10318
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,1160721,1160721,Ruminococcus bicirculans (ex Wegman et al. 2014),Ruminococcus bicirculans (ex Wegman et al. 2014),species,0.72193,fraction_reads,0.72193,1160721,1||1239|186801|186802|216572|1263|1160721,8951,0,0,8951
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,1297617,1297617,Intestinimonas butyriciproducens,Intestinimonas butyriciproducens,species,0.78283,fraction_reads,0.78283,1297617,1||1239|186801|186802||1392389|1297617,9706,0,0,9706
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,1335613,1335613,Gordonibacter urolithinfaciens,Gordonibacter urolithinfaciens,species,0.79533,fraction_reads,0.79533,1335613,1||201174|84998|1643822|1643826|644652|1335613,9861,0,0,9861
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,1550024,1550024,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,species,1.07117,fraction_reads,1.07117,1550024,1||1239|186801|186802|216572|1905344|1550024,13281,0,0,13281
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,1712675,1712675,Turicibacter sp. H121,Turicibacter sp. H121,species,0.00032,fraction_reads,0.00032,1712675,1||1239|526524|526525|2810281|191303|1712675,4,0,0,4
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,1737424,1737424,Blautia massiliensis (ex Durand et al. 2017),Blautia massiliensis (ex Durand et al. 2017),species,0.9176,fraction_reads,0.9176,1737424,1||1239|186801|3085636|186803|572511|1737424,11377,0,0,11377
