tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,norm_abund,classified_fraction
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,263819,263819,Yersinia aleksiciae,Yersinia aleksiciae,species,0.0,abund,0.0,4000307,18,12,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,264636,264636,Acholeplasma hippikon,Acholeplasma hippikon,species,0.0,abund,0.0,1465667,45,22,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,264691,264691,Trichormus variabilis,Trichormus variabilis,species,0.0,abund,0.0,7100882,3,0,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,264697,264697,Bacillus muralis,Bacillus muralis,species,0.0,abund,0.0,5007018,36,9,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,265293,265293,Pseudomonas mesoacidophila,Pseudomonas mesoacidophila,species,0.0,abund,0.0,7840830,24,19,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,265606,265606,Rhodopirellula baltica,Rhodopirellula baltica,species,0.0,abund,0.0,7145576,22,20,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,265668,265668,Vibrio ponticus,Vibrio ponticus,species,0.0,abund,0.0,4796932,19,12,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,265883,265883,Thiomicrospira thermophila,Thiomicrospira thermophila,species,0.0,abund,0.0,2612894,3,0,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,265949,265949,Mycobacterium pseudoshottsii,Mycobacterium pseudoshottsii,species,0.0,abund,0.0,6061597,3,0,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,265959,265959,Komagataeibacter saccharivorans,Komagataeibacter saccharivorans,species,0.0,abund,0.0,7496168,39,36,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,265960,265960,Komagataeibacter nataicola,Komagataeibacter nataicola,species,0.0,abund,0.0,3760301,8,4,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,266009,266009,Methylovorus glucosotrophus,Methylovorus glucosotrophus,species,0.0,abund,0.0,3082007,28,14,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,266748,266748,Chryseobacterium antarcticum,Chryseobacterium antarcticum,species,0.0,abund,0.0,3137220,25,4,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,266749,266749,Chryseobacterium jeonii,Chryseobacterium jeonii,species,0.0,abund,0.0,3288745,17,8,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,266779,266779,Chelativorans sp. BNC1,Chelativorans sp. BNC1,species,0.0,abund,0.0,4935185,14,10,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,267128,267128,Sphingopyxis granuli,Sphingopyxis granuli,species,0.0,abund,0.0,4679853,12,0,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,267363,267363,Lactobacillus zymae,Lactobacillus zymae,species,0.0,abund,0.0,2734129,24,20,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,267375,267375,Pseudoalteromonas marina,Pseudoalteromonas marina,species,0.0,abund,0.0,3441076,3,1,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,267818,267818,Lactobacillus kefiranofaciens,Lactobacillus kefiranofaciens,species,0.0,abund,0.0,2316165,34,0,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,269261,269261,Nitratifractor salsuginis,Nitratifractor salsuginis,species,0.0,abund,0.0,2101285,6,5,0.0,0.9267020492508667
