taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
626	626	Xenorhabdus	Xenorhabdus	genus	0.0	abund	0.0	3643829	1153	348	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
629	629	Yersinia	Yersinia	genus	0.005610412570000007	abund	5.610412570000007e-05	8219711	161482	30988	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
635	635	Edwardsiella	Edwardsiella	genus	0.0005937669999999999	abund	5.9376699999999995e-06	9328585	17456	3572	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
637	637	Arsenophonus	Arsenophonus	genus	5.4853799999999995e-31	abund	5.48538e-33	0	1308	434	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
642	642	Aeromonas	Aeromonas	genus	0.21654740608	abund	0.0021654740608	7407571	160180	44079	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
657	657	Photobacterium	Photobacterium	genus	5.357404e-05	abund	5.357404e-07	55542021	12542	3182	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
662	662	Vibrio	Vibrio	genus	0.08277187602038308	abund	0.0008277187602038308	11904312	864846	101580	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
702	702	Plesiomonas	Plesiomonas	genus	0.0	abund	0.0	0	209	46	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
713	713	Actinobacillus	Actinobacillus	genus	0.00175149	abund	1.75149e-05	3757946	7000	2570	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
724	724	Haemophilus	Haemophilus	genus	0.00029357499999999997	abund	2.93575e-06	2041974	7519	1868	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
745	745	Pasteurella	Pasteurella	genus	9.044090000000002e-16	abund	9.044090000000001e-18	5334695	7965	1975	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
768	768	Anaplasma	Anaplasma	genus	0.0	abund	0.0	1348122	180	84	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
773	773	Bartonella	Bartonella	genus	6.1785100006192515e-06	abund	6.178510000619251e-08	4081485	8039	1844	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
776	776	Coxiella	Coxiella	genus	1.4327799999999999e-05	abund	1.43278e-07	4875319	2863	779	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
780	780	Rickettsia	Rickettsia	genus	0.0	abund	0.0	2632989	4790	1356	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
801	801	Symbiopectobacterium	Symbiopectobacterium	genus	0.0	abund	0.0	1035545	88	67	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
810	810	Chlamydia	Chlamydia	genus	9.857078e-05	abund	9.857078e-07	2380536	15731	5575	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
816	816	Bacteroides	Bacteroides	genus	19.1034628251	abund	0.19103462825099998	1318067	3410195	555222	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
830	830	Butyrivibrio	Butyrivibrio	genus	0.0	abund	0.0	4631906	1811	820	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
832	832	Fibrobacter	Fibrobacter	genus	0.0	abund	0.0	2071102	133	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
836	836	Porphyromonas	Porphyromonas	genus	0.0008778890000000001	abund	8.778890000000001e-06	1331446	5434	4010	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
838	838	Prevotella	Prevotella	genus	0.0027447512099999997	abund	2.7447512099999995e-05	6673339	32898	10984	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
841	841	Roseburia	Roseburia	genus	0.19168076483000002	abund	0.0019168076483	2909580	111006	16642	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
843	843	Wolinella	Wolinella	genus	0.0	abund	0.0	1035568	23	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
846	846	Oxalobacter	Oxalobacter	genus	0.179713	abund	0.00179713	1035559	13196	966	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
848	848	Fusobacterium	Fusobacterium	genus	0.025929955557999998	abund	0.00025929955558	8433562	31203	11077	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
862	862	Syntrophomonas	Syntrophomonas	genus	0.0	abund	0.0	2891974	84	69	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
864	864	Pectinatus	Pectinatus	genus	0.0	abund	0.0	0	155	99	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
869	869	Dichelobacter	Dichelobacter	genus	0.0	abund	0.0	1035569	90	3	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
872	872	Desulfovibrio	Desulfovibrio	genus	0.16758395938	abund	0.0016758395938	0	426923	418116	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
890	890	Desulfuromonas	Desulfuromonas	genus	0.0	abund	0.0	0	719	373	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
893	893	Desulfobulbus	Desulfobulbus	genus	0.0	abund	0.0	1035565	304	235	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
896	896	Desulfococcus	Desulfococcus	genus	1.59146e-05	abund	1.59146e-07	2071094	154	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
898	898	Desulfomicrobium	Desulfomicrobium	genus	0.0	abund	0.0	1035560	873	525	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
904	904	Acidaminococcus	Acidaminococcus	genus	2.7048399999999997e-05	abund	2.70484e-07	1553329	1767	600	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
906	906	Megasphaera	Megasphaera	genus	0.000137226	abund	1.37226e-06	1553335	5229	1246	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
911	911	Nitrobacter	Nitrobacter	genus	0.0	abund	0.0	3488104	322	117	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
914	914	Nitrosomonas	Nitrosomonas	genus	0.0	abund	0.0	4740661	1083	631	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
919	919	Thiobacillus	Thiobacillus	genus	0.0	abund	0.0	1035562	222	136	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
933	933	Thiomicrospira	Thiomicrospira	genus	3.00712e-06	abund	3.00712e-08	6260379	3852	1968	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
939	939	Hydrogenobacter	Hydrogenobacter	genus	0.0	abund	0.0	6213655	463	154	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
943	943	Ehrlichia	Ehrlichia	genus	0.0	abund	0.0	2588974	1321	401	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
953	953	Wolbachia	Wolbachia	genus	0.0013203495000000448	abund	1.3203495000000448e-05	3942934	21188	7170	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
958	958	Bdellovibrio	Bdellovibrio	genus	0.0	abund	0.0	1035563	1771	752	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
963	963	Herbaspirillum	Herbaspirillum	genus	2.7800400000000004e-112	abund	2.7800400000000003e-114	7846606	3227	1041	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
970	970	Selenomonas	Selenomonas	genus	0.0	abund	0.0	2642308	6424	3540	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
978	978	Cytophaga	Cytophaga	genus	0.0	abund	0.0	1035566	25	17	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
1007	1007	Saprospira	Saprospira	genus	0.0	abund	0.0	1582233	373	149	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
1013	1013	Weeksella	Weeksella	genus	0.0	abund	0.0	1035573	99	41	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
1016	1016	Capnocytophaga	Capnocytophaga	genus	0.0	abund	0.0	1035568	1809	673	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
1021	1021	Beggiatoa	Beggiatoa	genus	0.0	abund	0.0	2071100	12	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
1030	1030	Thiothrix	Thiothrix	genus	0.000312779	abund	3.12779e-06	0	12556	1904	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
1033	1033	Afipia	Afipia	genus	0.0	abund	0.0	3106801	851	274	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
1041	1041	Erythrobacter	Erythrobacter	genus	2.3831500000000002e-06	abund	2.38315e-08	1035567	75179	1686	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
