taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	taxRank_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
810	810	Chlamydia	Chlamydia	genus	0.0	abund	0.0	1088737	18	8	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
816	816	Bacteroides	Bacteroides	genus	59.560599999999994	abund	0.595606	5769181	536723	477868	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
830	830	Butyrivibrio	Butyrivibrio	genus	0.0	abund	0.0	3656343	1006	983	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
832	832	Fibrobacter	Fibrobacter	genus	0.0	abund	0.0	3810604	20	0	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
836	836	Porphyromonas	Porphyromonas	genus	0.0	abund	0.0	2306849	1585	1523	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
838	838	Prevotella	Prevotella	genus	0.0	abund	0.0	3805857	3454	2826	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
841	841	Roseburia	Roseburia	genus	0.08783	abund	0.0008783	3968065	7689	2836	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
843	843	Wolinella	Wolinella	genus	0.0	abund	0.0	2094385	4	0	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
846	846	Oxalobacter	Oxalobacter	genus	0.51878	abund	0.0051878	6215592	1386	305	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
848	848	Fusobacterium	Fusobacterium	genus	0.0	abund	0.0	2977410	1373	1031	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
862	862	Syntrophomonas	Syntrophomonas	genus	0.0	abund	0.0	2915996	46	46	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
864	864	Pectinatus	Pectinatus	genus	0.0	abund	0.0	2817551	63	63	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
869	869	Dichelobacter	Dichelobacter	genus	0.0	abund	0.0	1366728	17	17	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
872	872	Desulfovibrio	Desulfovibrio	genus	0.00129	abund	1.29e-05	3466113	104757	103394	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
890	890	Desulfuromonas	Desulfuromonas	genus	0.0	abund	0.0	3926452	220	210	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
893	893	Desulfobulbus	Desulfobulbus	genus	0.0	abund	0.0	3227056	67	67	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
896	896	Desulfococcus	Desulfococcus	genus	0.0	abund	0.0	4429519	17	0	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
898	898	Desulfomicrobium	Desulfomicrobium	genus	0.0	abund	0.0	3513733	554	519	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
904	904	Acidaminococcus	Acidaminococcus	genus	0.0	abund	0.0	2396004	733	474	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
906	906	Megasphaera	Megasphaera	genus	0.004059999999999999	abund	4.06e-05	2608478	1655	1392	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
911	911	Nitrobacter	Nitrobacter	genus	0.0	abund	0.0	3887281	19	19	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
914	914	Nitrosomonas	Nitrosomonas	genus	0.0	abund	0.0	3321078	52	49	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
919	919	Thiobacillus	Thiobacillus	genus	0.0	abund	0.0	2866412	25	25	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
933	933	Thiomicrospira	Thiomicrospira	genus	0.0	abund	0.0	2311768	31	31	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
939	939	Hydrogenobacter	Hydrogenobacter	genus	0.0	abund	0.0	1732067	34	0	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
943	943	Ehrlichia	Ehrlichia	genus	0.0	abund	0.0	1193359	14	6	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
953	953	Wolbachia	Wolbachia	genus	0.0	abund	0.0	1528014	35	15	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
958	958	Bdellovibrio	Bdellovibrio	genus	0.0	abund	0.0	3844969	58	45	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
