taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
358	358	Agrobacterium tumefaciens	Agrobacterium tumefaciens	species	0.0	abund	0.0	7273300	1105	260	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
359	359	Agrobacterium rhizogenes	Agrobacterium rhizogenes	species	0.0	abund	0.0	5482241	70	33	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
373	373	Agrobacterium vitis	Agrobacterium vitis	species	0.0	abund	0.0	6320946	60	34	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
375	375	Bradyrhizobium japonicum	Bradyrhizobium japonicum	species	0.0	abund	0.0	9207384	152	22	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
376	376	Bradyrhizobium sp.	Bradyrhizobium sp.	species	0.0	abund	0.0	7547693	64	35	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
380	380	Sinorhizobium fredii	Sinorhizobium fredii	species	0.0	abund	0.0	6924988	217	33	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
381	381	Mesorhizobium loti	Mesorhizobium loti	species	0.0	abund	0.0	7481739	237	76	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
382	382	Sinorhizobium meliloti	Sinorhizobium meliloti	species	0.0	abund	0.0	7082772	613	145	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
384	384	Rhizobium leguminosarum	Rhizobium leguminosarum	species	0.0	abund	0.0	9364981	819	250	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
396	396	Rhizobium phaseoli	Rhizobium phaseoli	species	0.0	abund	0.0	6665454	248	49	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
398	398	Rhizobium tropici	Rhizobium tropici	species	0.0	abund	0.0	6686334	67	44	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
399	399	Neorhizobium galegae	Neorhizobium galegae	species	0.0	abund	0.0	6434105	331	171	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
405	405	Methylobacillus flagellatus	Methylobacillus flagellatus	species	0.0	abund	0.0	2971517	116	89	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
408	408	Methylobacterium extorquens	Methylobacterium extorquens	species	0.0	abund	0.0	8218505	274	56	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
414	414	Methylococcus capsulatus	Methylococcus capsulatus	species	0.0	abund	0.0	3304561	40	26	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
421	421	Methylomonas methanica	Methylomonas methanica	species	0.0	abund	0.0	5051681	146	129	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
