taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	taxRank_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
2847777	2847777	Atribacter	Atribacter	genus	0.0	abund	0.0	3101225	2	2	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2848171	2848171	Cognaticolwellia	Cognaticolwellia	genus	0.0	abund	0.0	4661274	5	5	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2853332	2853332	Peteryoungia	Peteryoungia	genus	0.0	abund	0.0	4370591	4	4	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2854182	2854182	Falsihalocynthiibacter	Falsihalocynthiibacter	genus	0.0	abund	0.0	3851340	8	8	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2854186	2854186	Pseudosulfitobacter	Pseudosulfitobacter	genus	0.0	abund	0.0	70073442	11	7	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2855430	2855430	Altericista	Altericista	genus	0.0	abund	0.0	5791642	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2856573	2856573	Infirmifilum	Infirmifilum	genus	0.0	abund	0.0	1688732	3	3	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2858886	2858886	Mangrovivirga	Mangrovivirga	genus	0.0	abund	0.0	4661901	8	8	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2861660	2861660	Pseudalgibacter	Pseudalgibacter	genus	0.0	abund	0.0	3994770	2	2	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
2862144	2862144	Ruoffia	Ruoffia	genus	0.0	abund	0.0	2363336	3	3	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
