tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative,norm_abund,classified_fraction
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,216816,216816,Bifidobacterium longum,Bifidobacterium longum,species,0.01026,abund,0.01026,216816,1||201174|1760|85004|31953|1678|216816,23,0,0,23,0.012107689043391077,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,239935,239935,Akkermansia muciniphila,Akkermansia muciniphila,species,1.97089,abund,1.97089,239935,1||74201|203494|48461|1647988|239934|239935,5105,0,0,5105,2.3258209803829475,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,244366,244366,Klebsiella variicola,Klebsiella variicola,species,0.00019,abund,0.00019,244366,1||1224|1236|91347|543|570|244366,1,0,0,1,0.00022421646376650142,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,246787,246787,Bacteroides cellulosilyticus,Bacteroides cellulosilyticus,species,0.00015,abund,0.00015,246787,1||976|200643|171549|815|816|246787,1,0,0,1,0.00017701299771039587,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,261299,261299,Intestinibacter bartlettii,Intestinibacter bartlettii,species,0.00213,abund,0.00213,261299,1||1239|186801|3082720|186804|1505657|261299,6,0,0,6,0.0025135845674876213,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,291644,291644,Bacteroides salyersiae,Bacteroides salyersiae,species,0.00096,abund,0.00096,291644,1||976|200643|171549|815|816|291644,5,0,0,5,0.0011328831853465336,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,292800,292800,Flavonifractor plautii,Flavonifractor plautii,species,0.00024,abund,0.00024,292800,1||1239|186801|186802|216572|946234|292800,1,0,0,1,0.0002832207963366334,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,301301,301301,Roseburia hominis,Roseburia hominis,species,1.40224,abund,1.40224,301301,1||1239|186801|3085636|186803|841|301301,4703,0,0,4703,1.6547647060628365,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,328812,328812,Parabacteroides goldsteinii,Parabacteroides goldsteinii,species,0.00016,abund,0.00016,328812,1||976|200643|171549|2005525|375288|328812,1,0,0,1,0.00018881386422442227,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,328813,328813,Alistipes onderdonkii,Alistipes onderdonkii,species,0.00667,abund,0.00667,328813,1||976|200643|171549|171550|239759|328813,22,0,0,22,0.007871177964855602,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,328814,328814,Alistipes shahii,Alistipes shahii,species,0.00029,abund,0.00029,328814,1||976|200643|171549|171550|239759|328814,1,0,0,1,0.00034222512890676535,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,333367,333367,Enterocloster asparagiformis,Enterocloster asparagiformis,species,0.00017,abund,0.00017,333367,1||1239|186801|3085636|186803|2719313|333367,1,0,0,1,0.00020061473073844867,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,338188,338188,Bacteroides finegoldii,Bacteroides finegoldii,species,0.00043,abund,0.00043,338188,1||976|200643|171549|815|816|338188,2,0,0,2,0.0005074372601031348,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,357276,357276,Phocaeicola dorei,Phocaeicola dorei,species,0.00176,abund,0.00176,357276,1||976|200643|171549|815|909656|357276,9,0,0,9,0.002076952506468645,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,357441,357441,Enterococcus lactis,Enterococcus lactis,species,0.00351,abund,0.00351,357441,1||1239|91061|186826|81852|1350|357441,9,0,0,9,0.004142104146423264,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,371601,371601,Bacteroides xylanisolvens,Bacteroides xylanisolvens,species,0.01242,abund,0.01242,371601,1||976|200643|171549|815|816|371601,74,0,0,74,0.014656676210420778,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,395631,395631,Phytobacter diazotrophicus,Phytobacter diazotrophicus,species,0.00418,abund,0.00418,395631,1||1224|1236|91347|543|447792|395631,22,0,0,22,0.004932762202863031,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,418240,418240,Blautia wexlerae,Blautia wexlerae,species,0.00026,abund,0.00026,418240,1||1239|186801|3085636|186803|572511|418240,1,0,0,1,0.00030682252936468614,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,423477,423477,Veillonella rogosae,Veillonella rogosae,species,23.79357,abund,23.79357,423477,1||1239|909932|1843489|31977|29465|423477,48345,0,0,48345,28.078474346214293,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,456999,456999,Rhizoctonia solani,Rhizoctonia solani,species,3e-05,abund,3e-05,456999,1||5204|155619|36064|5250|1322061|456999,1,0,0,1,3.5402599542079175e-05,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,544580,544580,Actinomyces oris,Actinomyces oris,species,0.00207,abund,0.00207,544580,1||201174|1760|2037|2049|1654|544580,6,0,0,6,0.0024427793684034626,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,666563,666563,Aquimarina macrocephali,Aquimarina macrocephali,species,0.00018,abund,0.00018,666563,1||976|117743|200644|49546|290174|666563,1,0,0,1,0.00021241559725247507,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,674529,674529,Bacteroides faecis,Bacteroides faecis,species,0.04395,abund,0.04395,674529,1||976|200643|171549|815|816|674529,256,0,0,256,0.051864808329145994,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1297617,1297617,Intestinimonas butyriciproducens,Intestinimonas butyriciproducens,species,0.002,abund,0.002,1297617,1||1239|186801|186802||1392389|1297617,6,0,0,6,0.0023601733028052784,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1501392,1501392,Coprobacter secundus,Coprobacter secundus,species,0.00031,abund,0.00031,1501392,1||976|200643|171549|2005519|1348911|1501392,1,0,0,1,0.00036582686193481815,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1550024,1550024,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,species,0.00027,abund,0.00027,1550024,1||1239|186801|186802|216572|1905344|1550024,1,0,0,1,0.00031862339587871254,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1740262,1740262,Catenovulum sediminis,Catenovulum sediminis,species,0.00023,abund,0.00023,1740262,1||1224|1236|135622|72275|1172191|1740262,1,0,0,1,0.000271419929822607,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1796635,1796635,Longicatena caecimuris,Longicatena caecimuris,species,0.00034,abund,0.00034,1796635,1||1239|526524|526525|128827|1918536|1796635,1,0,0,1,0.00040122946147689735,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2068655,2068655,Novisyntrophococcus fermenticellae,Novisyntrophococcus fermenticellae,species,0.00025,abund,0.00025,2068655,1||1239|186801|3085636|186803|2888809|2068655,1,0,0,1,0.0002950216628506598,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2108523,2108523,Lawsonibacter asaccharolyticus,Lawsonibacter asaccharolyticus,species,0.00095,abund,0.00095,2108523,1||1239|186801|186802|216572|2172004|2108523,3,0,0,3,0.001121082318832507,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2583452,2583452,Amedibacterium intestinale,Amedibacterium intestinale,species,0.00041,abund,0.00041,2583452,1||1239|526524|526525|128827|2749267|2583452,1,0,0,1,0.00048383552707508204,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2763023,2763023,Bacteroides hominis,Bacteroides hominis,species,0.00265,abund,0.00265,2763023,1||976|200643|171549|815|816|2763023,13,0,0,13,0.0031272296262169937,0.8473954
