tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,342113,342113,Burkholderia oklahomensis,Burkholderia oklahomensis,species,0.0,abund,0.0,10794696,101,8
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,342948,342948,Thermococcus onnurineus,Thermococcus onnurineus,species,0.0,abund,0.0,1847607,29,24
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,342949,342949,Pyrococcus sp. NA2,Pyrococcus sp. NA2,species,0.0,abund,0.0,1861320,20,4
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,342950,342950,Shewanella spongiae,Shewanella spongiae,species,0.0,abund,0.0,5468749,32,23
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,345195,345195,Invertebrate iridescent virus 9,Invertebrate iridescent virus 9,species,0.0,abund,0.0,205791,8,7
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,345198,345198,Invertebrate iridescent virus 22,Invertebrate iridescent virus 22,species,0.0,abund,0.0,196456,1,0
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,345585,345585,Invertebrate iridescent virus 30,Invertebrate iridescent virus 30,species,0.0,abund,0.0,198533,1,0
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,345632,345632,Geobacter pickeringii,Geobacter pickeringii,species,0.0,abund,0.0,3618700,44,27
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,347534,347534,Zobellella denitrificans,Zobellella denitrificans,species,0.0,abund,0.0,4174222,42,22
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,348604,348604,Enterobacteria phage T4 sensu lato,Enterobacteria phage T4 sensu lato,species,0.0,abund,0.0,168903,1,0
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,348826,348826,Natronorubrum aibiense,Natronorubrum aibiense,species,0.0,abund,0.0,4348483,5,3
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,349106,349106,Psychrobacter sp. PRwf-1,Psychrobacter sp. PRwf-1,species,0.0,abund,0.0,2995049,7,2
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,349221,349221,Micavibrio aeruginosavorus,Micavibrio aeruginosavorus,species,0.0,abund,0.0,2458610,50,24
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,349751,349751,Corynebacterium marinum,Corynebacterium marinum,species,0.0,abund,0.0,2729219,11,9
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,351052,351052,Alkalilimnicola ehrlichii,Alkalilimnicola ehrlichii,species,0.0,abund,0.0,3275944,17,14
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,351091,351091,Oscillibacter valericigenes,Oscillibacter valericigenes,species,0.0,abund,0.0,4470622,1723,1539
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,351604,351604,Geobacter uraniireducens,Geobacter uraniireducens,species,0.0,abund,0.0,5136364,56,25
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,351671,351671,Xenorhabdus doucetiae,Xenorhabdus doucetiae,species,0.0,abund,0.0,4203651,41,24
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,351679,351679,Xenorhabdus hominickii,Xenorhabdus hominickii,species,0.0,abund,0.0,4522699,17,9
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,351745,351745,Shewanella sp. W3-18-1,Shewanella sp. W3-18-1,species,0.0,abund,0.0,4708380,25,0
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,352858,352858,Bacillus sp. Y1,Bacillus sp. Y1,species,0.0,abund,0.0,5028825,163,116
