tool,db,tool_db,data_type,project,technology,sample,raw_path,rows,species_rows,genus_rows,species_no_taxid,genus_no_taxid,species_value_sum,genus_value_sum,out_path
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,/dodo/eh58/bakeoff/reports/unified-reports/simulated/pacbio/sylph-results/sim_pacbio.fastq.sylphmpa,193,127,66,0,0,99.9997,99.9997,results/prepared/20260713_014947/analysis-prep/tables/abundance/Sylph_unified/simulated_pacbio_sim_pacbio.csv
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/Kraken2-results/D6331_Qiagen_report.tsv,982,661,321,0,0,95.54374719782135,96.97115624117832,results/prepared/20260713_014947/analysis-prep/tables/abundance/Kraken2_default/ZymoMockD6331_ont_D6331_Qiagen.csv
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/Kraken2-results/D6331_Zymo_report.tsv,4721,3488,1233,0,0,92.32312267193791,95.61386990410989,results/prepared/20260713_014947/analysis-prep/tables/abundance/Kraken2_default/ZymoMockD6331_ont_D6331_Zymo.csv
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/Centrifuge-results/D6331_Qiagen_report.tsv,3301,2461,840,0,0,98.92029803029514,98.92029803029516,results/prepared/20260713_014947/analysis-prep/tables/abundance/Centrifuge_default/ZymoMockD6331_ont_D6331_Qiagen.csv
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/Centrifuge-results/D6331_Zymo_report.tsv,5595,4334,1261,0,0,99.29428561996205,99.25716783996204,results/prepared/20260713_014947/analysis-prep/tables/abundance/Centrifuge_default/ZymoMockD6331_ont_D6331_Zymo.csv
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/Centrifuger-results/D6331_Qiagen_report.tsv,1281,830,451,0,0,99.23284,99.58853,results/prepared/20260713_014947/analysis-prep/tables/abundance/Centrifuger_default/ZymoMockD6331_ont_D6331_Qiagen.csv
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/Centrifuger-results/D6331_Zymo_report.tsv,6461,4874,1587,0,0,99.99993,99.99994000000001,results/prepared/20260713_014947/analysis-prep/tables/abundance/Centrifuger_default/ZymoMockD6331_ont_D6331_Zymo.csv
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/ganon2-results/D6331_Qiagen.tre,168,105,63,0,0,84.73953999999999,84.73951,results/prepared/20260713_014947/analysis-prep/tables/abundance/Ganon2_default/ZymoMockD6331_ont_D6331_Qiagen.csv
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/ganon2-results/D6331_Zymo.tre,354,217,137,0,0,68.51358,68.51353,results/prepared/20260713_014947/analysis-prep/tables/abundance/Ganon2_default/ZymoMockD6331_ont_D6331_Zymo.csv
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/sourmash-results/D6331_Qiagen-report.csv.summarized.csv,73,46,27,0,0,74.36596942034475,74.35521560193072,results/prepared/20260713_014947/analysis-prep/tables/abundance/Sourmash_default/ZymoMockD6331_ont_D6331_Qiagen.csv
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/default-reports/ZymoMockD6331/ont/sourmash-results/D6331_Zymo-report.csv.summarized.csv,77,51,26,0,0,65.83432992639271,65.75492850463611,results/prepared/20260713_014947/analysis-prep/tables/abundance/Sourmash_default/ZymoMockD6331_ont_D6331_Zymo.csv
